title,description,url
MGTSC - Management Science,"Offered By:
Faculty of Business",https://apps.ualberta.ca/catalogue/course/mgtsc
MICRB - Microbiology,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/micrb
MICRE - FSJ - Microbiologie,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/micre
MIN E - Mining Engineering,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/min_e
MINT - Master of Internetworking,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/mint
MLCS - Modern Languages and Cultural Studies,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/mlcs
MLSCI - Medical Laboratory Science,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/mlsci
MM - Multimedia,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/mm
MMA - Master's in Management Analytics,"Offered By:
Faculty of Business",https://apps.ualberta.ca/catalogue/course/mma
MMI - Medical Microbiology and Immunology,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/mmi
MSFSJ - FSJ - Maîtrise en Sciences Faculté Saint-Jean,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/msfsj
MST - Media Studies,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/mst
MUSIC - Music,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/music
